"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"C6",1609.18560299474,-6.06275967621808,1.35570966317813,-3.73439816335726,0.000188164608874796,0.00881212088337495
"CA3",925.817048303315,-4.7660179690655,1.01459115380126,-3.7118576827284,0.000205743665844688,0.00948121677189881
"CA4",703.68994950951,-9.39970053051407,0.686000379510754,-12.2444546408336,1.798821500796e-34,3.10854343552557e-30
"CASQ2",402.70859374858,-4.37033978770661,0.903841177791065,-3.72890710284247,0.000192312026520103,0.00895780089028007
"CAV1",34051.5414263478,-3.41415002102935,0.602540320448176,-4.00661987107134,6.15938721777871e-05,0.00385653516342152
"CD36",87850.5157676665,-6.28737852460382,0.867889884377819,-6.09222278053659,1.11353569612654e-09,3.77313928720838e-07
"CDK1",1562.02927498266,3.54174885306293,0.668697343965957,3.80104523518539,0.000144086991995798,0.00740644032964454
"CDC20",1514.11708425023,5.07437319344154,1.02291043302283,3.98311823001086,6.80168962032926e-05,0.00415335683141024
"CDH2",244.946231089258,3.18537966473186,0.59038016827212,3.7016481619426,0.000214203514958682,0.00974118668947627
"CDO1",3072.63197290145,-4.62466646949151,0.941554488233939,-3.849661931186,0.000118280965734947,0.00642771499643275
"CEBPA",6629.32748730235,-4.02784382088444,0.757081129909965,-3.99936506308713,6.35126471502924e-05,0.003933914177076
"CES1",5781.81326884817,-4.89901852705559,0.577418063135176,-6.75250529206742,1.45313760869854e-11,1.09181178330085e-08
"CHIT1",570.601275579274,-5.84461999675082,1.20990088198986,-4.00414618161375,6.22418699060642e-05,0.00388303882255125
"CIDEA",4806.82629384398,-8.80162642844654,1.2927826777371,-6.03475476798824,1.59204272645276e-09,5.09483154737594e-07
"CKMT2",315.620655840062,-4.4897749414361,0.696610561882886,-5.00964977045926,5.45291771745107e-07,7.41983236813165e-05
"CMA1",155.286680594356,-5.47091239646171,1.04869505518617,-4.26331026770029,2.0142053275835e-05,0.00153336926281809
"CNTFR",1909.83744468076,-6.65284748666576,1.09870472027609,-5.14501064967232,2.67505635002533e-07,4.0550569109463e-05
"COL10A1",4375.94741759555,7.03381190159957,0.814682844550709,7.40633234387937,1.29840206360298e-13,3.20538372301758e-10
"COL11A1",9281.82763020736,9.66860817137243,1.12086350223095,7.73386603642507,1.04328818230626e-14,3.60581261568691e-11
"COMP",4512.9720154486,4.72937324981493,0.889586358122555,4.19225544070354,2.76194754107044e-05,0.00196416524515384
"CPA1",89.1090541511921,-8.84048262151979,1.26741123717099,-6.18621832564832,6.16246451062909e-10,2.36652331573736e-07
"CPM",8707.12631331505,-4.0790484270391,0.812883863465256,-3.78780852397952,0.000151981901470578,0.0077005420401024
"CRHBP",297.38247177635,-6.39848124897591,0.914852563631783,-5.90093033957845,3.61457507809400e-09,1.02399134302528e-06
"HAPLN1",411.046589800237,6.07013306425333,1.33877998968264,3.78712940388002,0.000152397741896593,0.0077005420401024
"CSN1S1",28.5058179973372,-5.39637401415692,1.05457848580638,-4.1688447785802,3.06147386123864e-05,0.00213327942726068
"CST1",439.02464147324,10.038662927843,1.38589523764982,6.52189478850556,6.94247088246386e-11,3.87009159096316e-08
"CTSG",273.827889909128,-3.91296969456755,0.745887327554404,-3.9053749634258,9.40793936784197e-05,0.00540128239919193
"AKR1C1",6314.65575923953,-4.89503109992027,0.783147376553437,-4.97356080928467,6.57341412345569e-07,8.54399477390071e-05
"AKR1C2",7138.50577063993,-5.42710788122548,0.648696679867923,-6.82461929992744,8.81587865412325e-12,7.61735995109519e-09
"CFD",10647.416866439,-6.16551539472328,0.750207384992135,-6.88544994098856,5.76051690939783e-12,5.23934172164758e-09
"DPP6",84.1924650618496,-5.07286109856332,0.788150405227094,-5.16761911375252,2.37094863864159e-07,3.7589324242537e-05
"DPT",14240.1400023798,-4.69518470392801,0.806577957666698,-4.58131129025344,4.62069446132521e-06,0.000443612338812005
"EPYC",135.935250885001,7.12788601481735,1.25780330439032,4.87189530622808,1.10532739856862e-06,0.000134128478139602
"EBF1",3926.03822905075,-3.78646658334038,0.615973144686802,-4.52368192895356,6.077303359984e-06,0.000555671319385627
"S1PR1",3850.45374803057,-2.69636799214354,0.452155902041036,-3.75173249864952,0.000175616788094852,0.00847718914823225
"EPAS1",27288.2616505068,-2.6828797596654,0.451776566045917,-3.72502667500986,0.000195294569638035,0.00907227273633031
"EPB42",110.708339990474,-8.17236481875266,1.29676933752326,-5.53094880578481,3.18503278403725e-08,7.05648096678817e-06
"FABP4",101855.522947024,-7.31285643726622,1.20518529175031,-5.23807955546649,1.62256122305448e-07,2.69610389380813e-05
"FGF2",3226.29195655846,-4.23013149147245,0.487600774720093,-6.62454134394413,3.48328018162974e-11,2.1498058863837e-08
"FHL1",46822.3501202284,-5.8925498851021,0.70940610719181,-6.89668419189299,5.32303350148929e-12,5.23934172164758e-09
"FIGF",1224.12644016094,-5.6591970538727,1.02615064120447,-4.54046108513256,5.61313387810696e-06,0.000524327386743602
"FOXM1",2525.68884162458,5.13177568052532,0.94052187460377,4.39306707487903,1.11762626348517e-05,0.000924626156367691
"FMO2",8609.53849817211,-5.27178949401483,0.700654236258814,-6.09685815477875,1.08173424171516e-09,3.73868988621593e-07
"GFRA2",166.988573585547,-4.05520753569222,0.670849093496911,-4.55423964243054,5.25753947600118e-06,0.000496478358933204
"GHR",10543.9583382114,-4.28294385259624,0.81656135253775,-4.02044970949622,5.80871490024869e-05,0.00365019644331628
"GJB2",2326.08495167314,6.02620659666878,0.687267282880548,7.31332150077392,2.60618441182492e-13,5.00416364674961e-10
"GPC3",5356.14795883989,-3.7446725695052,0.722196996666483,-3.80044860636927,0.000144434372495238,0.00740644032964454
"GLDC",154.519835661862,4.32615386681539,0.876026384408941,3.79686494152749,0.000146537573443343,0.00749205859962841
"GNAL",512.314764611759,-3.05615154785632,0.493744876317076,-4.16440077959591,3.12171343614641e-05,0.00214899506231796
"GPD1",33990.4928300953,-8.21069143233907,1.21060262889016,-5.95628264821263,2.58039899073823e-09,7.6882543032668e-07
"GPLD1",245.321454235089,-4.44410613087699,0.638181741450817,-5.39674814739653,6.78595365664499e-08,1.26094693699443e-05
"GPX3",36022.7267424404,-4.73009852295486,0.857371551572202,-4.35062082024392,1.35752629295283e-05,0.00108608388280175
"GRIA1",189.330425421561,-5.09138702722163,1.05486643561135,-3.87858300264379,0.000105066678488884,0.00585695893860128
"GRIN2D",162.810985013019,3.08688339139888,0.483639872892032,4.31495314668722,1.596367573685e-05,0.00124827276202943
